r,lr,log,device,epochs,backbone,n_layers,rnn_type,strategy,grad_clip,batch_size,lora_alpha,fine_tuning,hidden_size,total_params,weight_decay,freeze_layers,embedding_size,trainable_params,continuous_targets,categorical_targets,continuous_features,categorical_features,id,name,best_train_next_activity_acc,best_train_next_activity_loss,best_test_next_activity_acc,test_next_activity_loss,_timestamp,best_test_next_activity_loss,train_next_activity_acc,best_train_next_remaining_time_loss,train_next_activity_loss,test_next_activity_acc,best_test_next_remaining_time_loss,test_next_remaining_time_loss,_runtime,_step,train_next_remaining_time_loss
256,5e-05,BPI12,cuda,25,llama32-1b,1,lstm,sum,5,8,512,lora,2048,1416316956,0.1,,2048,180502556,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],em7aqjhd,vocal-glitter-4,0.7490344205672673,0.725149728444882,0.7454246496997426,0.9231137452651884,1745239820.0698454,0.7586124319842041,0.6695166147720892,0.7193160229371975,1.0107979224156678,0.6903238490134401,0.844439510365776,1.4054516685036271,5906.373561415,24,0.7752768321929177
,0.0001,BPI12,cuda,25,rnn,1,lstm,sum,5,256,,,512,1603612,0.01,,256,1603612,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],grdgmxrt,expert-wood-6,0.8419512361118201,0.4388689438976616,0.786227480697741,0.8004335485801446,1745240131.804327,0.8004335485801446,0.8419512361118201,0.6184552996722427,0.4388689438976616,0.7807585072919645,1.457544358962258,1.478804071528386,52.018677199,24,0.6244282304075373
256,5e-05,BPI17,cuda,25,qwen25-05b,1,lstm,sum,5,8,512,lora,896,634870429,0.1,,896,140837661,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],n1vipbjr,magic-wave-8,0.8674847265294877,0.38272441579883915,0.8636607185246981,0.38410222285625384,1745249124.8033044,0.38410222285625384,0.8674847265294877,0.5548284270054425,0.38272441579883915,0.8636607185246981,0.5932077974487928,0.6250654017829614,8168.412075184,16,0.5552684305508357
,0.0001,BPI17,cuda,25,rnn,1,lstm,concat,5,256,,,128,87885,0.01,,32,87885,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],zkld8n4t,fine-spaceship-9,0.8624388657858127,0.4209844032470396,0.8502248356969907,0.4506848588217066,1745249334.3961916,0.4506848588217066,0.8624388657858127,0.5404152690635474,0.4209844032470396,0.8502248356969907,0.6306513419059361,0.698452565281939,130.481716185,24,0.5404152690635474
128,5e-05,BPI20PrepaidTravelCosts,cuda,25,llama32-1b,1,lstm,sum,5,8,256,lora,2048,1326159905,0.1,,2048,90345505,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],6hxohj48,bumbling-capybara-10,0.8688202247191011,0.40516614637124854,0.8516831683168317,0.4669634539774149,1745249684.8959837,0.4669634539774149,0.8640449438202247,0.6267367902319976,0.4165098973427819,0.8403960396039604,0.8978268733827194,0.9388963971751751,296.395079954,16,0.6388832356599387
256,5e-05,BPI20PrepaidTravelCosts,cuda,25,qwen25-05b,1,lstm,sum,5,8,512,lora,896,634877601,0.1,,896,140844833,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],m7gb7de5,exalted-spaceship-11,0.8584269662921349,0.4536017583104109,0.8516831683168317,0.6763994748993676,1745250152.5924594,0.49060643322396985,0.8353932584269663,0.6295285238755329,0.5647621428921874,0.766930693069307,0.8705575680024553,0.8920407016678612,425.850094122,17,0.6352578614981433
,0.0001,BPI20PrepaidTravelCosts,cuda,25,rnn,1,lstm,sum,5,32,,,128,89153,0.01,,32,89153,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],1keqv68h,vocal-leaf-12,0.7965355805243446,0.749255021055986,0.6493069306930693,1.112330668043382,1745250189.1965854,1.112330668043382,0.7965355805243446,0.5975967985860418,0.749255021055986,0.6493069306930693,1.030061374135537,1.146117117853448,12.659027641,24,0.5993926773357034
,5e-05,BPI20RequestForPayment,cuda,25,llama32-1b,1,lstm,sum,5,8,,freeze,2048,1235929108,0.1,,2048,182292,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],t4gtuqst,drawn-sun-13,0.8716315109771847,0.3449843216393972,0.8253089049850874,0.5687822191032255,1745250740.0733676,0.46030845772117873,0.8714162720619888,0.5839568577395705,0.34563973109064255,0.7452066467831274,0.6462885697208638,0.7046332119574789,530.728654652,15,0.5908593641495428
,5e-05,BPI20RequestForPayment,cuda,25,qwen25-05b,1,lstm,sum,5,8,,freeze,896,494082964,0.1,,896,94100,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],uf6xjoj8,azure-cosmos-14,0.875204476969436,0.346740753898013,0.8362448515835819,0.5082604332820815,1745251448.5147967,0.47147633653187543,0.875204476969436,0.5577110536027663,0.346740753898013,0.78000284050561,0.6705539819446245,0.6984716222259474,680.443401751,16,0.5577110536027663
,0.0001,BPI20RequestForPayment,cuda,25,rnn,1,lstm,concat,5,256,,,512,1131060,0.01,,32,1131060,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],b757rrf3,mild-snowball-15,0.869737408523461,0.3771028568762107,0.8129527055815935,0.4987703178978969,1745251496.9753554,0.494195366257921,0.869737408523461,0.5763177997328011,0.3771028568762107,0.7868200539696066,0.6394014342267005,0.6782945502364759,18.186402145,19,0.5764445915337117
