Dataset,Backbone,NA Acc.,RT MSE,"# params
(total)","% params
(trainable)"
BPI12,Llama3.2-1b [LoRA],0.7454,0.8444,1.42e+09,0.1274
BPI12,PM-GPT2 [LoRA],0.7983,1.1405,1.29e+08,0.0369
BPI12,Qwen2.5-0.5b [LoRA],0.8162,1.0169,5.64e+08,0.1248
BPI12,RNN,0.7904,1.4058,1.60e+06,1.0
BPI12,ST-RNN,0.8358,1.4555,2.12e+05,1.0
BPI17,Llama3.2-1b [LoRA],0.8687,0.5906,1.33e+09,0.0681
BPI17,PM-GPT2 [LoRA],0.873,0.5683,1.29e+08,0.037
BPI17,Qwen2.5-0.5b [LoRA],0.8637,0.5932,6.35e+08,0.2218
BPI17,RNN,0.843,0.6613,8.85e+04,1.0
BPI17,ST-RNN,0.8855,0.6862,1.41e+05,1.0
BPI20PTC,Llama3.2-1b [LoRA],0.8517,0.8978,1.33e+09,0.0681
BPI20PTC,PM-GPT2 [Freezing],0.7721,1.0361,1.25e+08,0.0005
BPI20PTC,Qwen2.5-0.5b [LoRA],0.8517,0.8706,6.35e+08,0.2218
BPI20PTC,RNN,0.6516,1.0484,8.92e+04,1.0
BPI20PTC,ST-RNN,0.8052,0.9942,2.14e+05,1.0
BPI20RfP,Llama3.2-1b [Freezing],0.8253,0.6463,1.24e+09,0.0001
BPI20RfP,PM-GPT2 [Freezing],0.8429,0.6366,1.24e+08,0.0573
BPI20RfP,Qwen2.5-0.5b [Freezing],0.8362,0.6706,4.94e+08,0.0002
BPI20RfP,RNN,0.7707,0.6456,1.39e+05,1.0
BPI20RfP,ST-RNN,0.8123,0.6446,8.67e+04,1.0
BPI20TPD,Llama3.2-1b [LoRA],0.7615,0.7663,1.42e+09,0.1275
BPI20TPD,PM-GPT2 [LoRA],0.7454,0.9041,1.34e+08,0.0712
BPI20TPD,Qwen2.5-0.5b [LoRA],0.7889,0.7729,6.35e+08,0.2219
BPI20TPD,RNN,0.7208,0.8865,9.25e+04,1.0
BPI20TPD,ST-RNN,0.7603,0.8152,1.48e+05,1.0
