Dataset,Backbone,NA Acc.,RT MSE,"# params
(total)","% params
(trainable)",Runtime (h),"# params
(\%trainable)"
BPI12,Llama3.2-1b [LoRA],0.7454,0.8444,1.4e+09,12%,1.641,1.4e+09(12%)
BPI12,PM-GPT2 [LoRA],0.7983,1.1405,1.3e+08,3%,0.135,1.3e+08(3%)
BPI12,Qwen2.5-0.5b [LoRA],0.8162,1.0169,5.6e+08,12%,0.922,5.6e+08(12%)
BPI12,RNN,0.7904,1.4058,1.6e+06,100%,0.016,1.6e+06(100%)
BPI12,ST-RNN,0.8358,1.4555,2.1e+05,100%,0.011,2.1e+05(100%)
BPI17,Llama3.2-1b [LoRA],0.8687,0.5906,1.3e+09,6%,3.396,1.3e+09(6%)
BPI17,PM-GPT2 [LoRA],0.873,0.5683,1.3e+08,3%,0.559,1.3e+08(3%)
BPI17,Qwen2.5-0.5b [LoRA],0.8637,0.5932,6.3e+08,22%,2.269,6.3e+08(22%)
BPI17,RNN,0.843,0.6613,8.9e+04,100%,0.039,8.9e+04(100%)
BPI17,ST-RNN,0.8855,0.6862,1.4e+05,100%,0.065,1.4e+05(100%)
BPI20PTC,Llama3.2-1b [LoRA],0.8517,0.8978,1.3e+09,6%,0.082,1.3e+09(6%)
BPI20PTC,PM-GPT2 [Freezing],0.7721,1.0361,1.2e+08,0%,0.008,1.2e+08(0%)
BPI20PTC,Qwen2.5-0.5b [LoRA],0.8517,0.8706,6.3e+08,22%,0.118,6.3e+08(22%)
BPI20PTC,RNN,0.6516,1.0484,8.9e+04,100%,0.004,8.9e+04(100%)
BPI20PTC,ST-RNN,0.8052,0.9942,2.1e+05,100%,0.003,2.1e+05(100%)
BPI20RfP,Llama3.2-1b [Freezing],0.8253,0.6463,1.2e+09,0%,0.147,1.2e+09(0%)
BPI20RfP,PM-GPT2 [Freezing],0.8429,0.6366,1.2e+08,5%,0.026,1.2e+08(5%)
BPI20RfP,Qwen2.5-0.5b [Freezing],0.8362,0.6706,4.9e+08,0%,0.189,4.9e+08(0%)
BPI20RfP,RNN,0.7707,0.6456,1.4e+05,100%,0.006,1.4e+05(100%)
BPI20RfP,ST-RNN,0.8123,0.6446,8.7e+04,100%,0.006,8.7e+04(100%)
BPI20TPD,Llama3.2-1b [LoRA],0.7615,0.7663,1.4e+09,12%,0.597,1.4e+09(12%)
BPI20TPD,PM-GPT2 [LoRA],0.7454,0.9041,1.3e+08,7%,0.055,1.3e+08(7%)
BPI20TPD,Qwen2.5-0.5b [LoRA],0.7889,0.7729,6.3e+08,22%,0.25,6.3e+08(22%)
BPI20TPD,RNN,0.7208,0.8865,9.3e+04,100%,0.013,9.3e+04(100%)
BPI20TPD,ST-RNN,0.7603,0.8152,1.5e+05,100%,0.012,1.5e+05(100%)
