r,lr,log,device,epochs,backbone,n_layers,rnn_type,strategy,grad_clip,batch_size,lora_alpha,fine_tuning,hidden_size,total_params,weight_decay,freeze_layers,embedding_size,trainable_params,continuous_targets,categorical_targets,continuous_features,categorical_features,id,name,best_train_next_activity_acc,best_train_next_activity_loss,best_test_next_activity_acc,test_next_activity_loss,_timestamp,best_test_next_activity_loss,train_next_activity_acc,best_train_next_remaining_time_loss,train_next_activity_loss,test_next_activity_acc,best_test_next_remaining_time_loss,test_next_remaining_time_loss,_runtime,_step,train_next_remaining_time_loss
,0.0005,BPI20PrepaidTravelCosts,cuda,25,rnn,1,lstm,sum,5,32,,,128,89153,0.01,,32,89153,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],26kq9my9,treasured-resonance-1,0.8843556295679527,0.3492611798517511,0.7842938311688312,0.6329870719414252,1743779646.6838102,0.6139148303440639,0.8843556295679527,0.5771364276796698,0.3492611798517511,0.7804383116883117,0.9793465509043112,1.3282334998056486,18.522833004,24,0.5771364276796698
,0.0005,BPI12,cuda,25,rnn,1,lstm,sum,5,32,,,128,88348,0.01,,32,88348,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],7t2hvtxd,expert-monkey-7,0.856583805488915,0.3426692968423083,0.8363061195310266,0.4965383308357193,1743782097.676543,0.4725119217075482,0.8555714358634067,0.592523074796302,0.3426692968423083,0.8218472976837289,1.1737980939744028,2.3146415337822184,76.435204945,24,0.592523074796302
,0.0005,BPI20PrepaidTravelCosts,cuda,25,rnn,1,lstm,sum,5,32,,,128,88768,0.01,,32,88768,,['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],hkx5jbf1,rural-smoke-8,0.8926820242390601,0.3110618471316266,0.7972808441558441,0.6699493349372566,1743782035.697158,0.6096065431446224,0.8926820242390601,,0.3110618471316266,0.7920048701298701,,,14.414150231,24,
,0.0005,BPI12,cuda,25,rnn,1,lstm,sum,5,32,,,128,84609,0.01,,32,84609,['remaining_time'],,"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],o28g9go7,colorful-pine-9,,,,,1743782096.1647737,,,0.582364464808944,,,1.6752335276387575,2.220013426599211,70.542198739,24,0.582364464808944
,0.0005,BPI20PrepaidTravelCosts,cuda,25,rnn,1,lstm,sum,5,32,,,128,89153,0.01,,32,89153,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],ksfw2471,vocal-eon-10,0.8843556295679527,0.3492611798517511,0.7842938311688312,0.6329870719414252,1743782039.619241,0.6139148303440639,0.8843556295679527,0.5771364276796698,0.3492611798517511,0.7804383116883117,0.9793465509043112,1.3282334998056486,13.260450673,24,0.5771364276796698
,0.0005,BPI20RequestForPayment,cuda,25,rnn,1,lstm,sum,5,32,,,128,86675,0.01,,32,86675,,['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],4rddiw1g,hardy-snow-11,0.8834513844172569,0.3095839330735035,0.7839217354317312,0.8454487015131803,1743782062.4080613,0.4840395229852877,0.8834513844172569,,0.3095839330735035,0.7496100949950376,,,34.941399799,24,
,0.0005,BPI20TravelPermitData,cuda,25,rnn,1,lstm,sum,5,32,,,128,92534,0.01,,32,92534,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],0tsxha5k,wandering-bird-12,0.8488183815875708,0.4501088396558655,0.7545230009262118,0.8679336505452951,1743782077.0855253,0.808051106192956,0.8488183815875708,0.4665094214795692,0.4501088396558655,0.7485334979932078,0.9009800130403052,1.0761201962750426,46.71436474,24,0.4665094214795692
,0.0005,BPI20RequestForPayment,cuda,25,rnn,1,lstm,sum,5,32,,,128,87060,0.01,,32,87060,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],4lmo5ggs,olive-voice-13,0.882335265078343,0.3151076726018935,0.8219197504607968,0.8358836702027423,1743782068.5367122,0.4570177857899148,0.882335265078343,0.5550624532181706,0.3151076726018935,0.7301857365660003,0.6421637546588526,0.6880438277421564,38.045449395,24,0.5550624532181706
,0.0005,BPI12,cuda,25,rnn,1,lstm,sum,5,32,,,128,87963,0.01,,32,87963,,['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],xzitrlr0,curious-aardvark-14,0.860718357068722,0.3312102282550087,0.8376822991135259,0.5127117504622208,1743782101.1791563,0.4701611827979062,0.860582240144284,,0.3312102282550087,0.7856913068344296,,,68.340912417,24,
,0.0005,BPI17,cuda,25,rnn,1,lstm,sum,5,32,,,128,88509,0.01,,32,88509,['remaining_time'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']",['activity'],cjdxsrvn,super-fog-15,0.8940220325163903,0.2783864115179977,0.8718979117070557,0.3485920828623425,1743782296.3759146,0.3331705900961417,0.8939450912064769,0.5082441355313709,0.2783864115179977,0.8613987968068584,0.6124124155380836,1.4104184646746676,262.584885706,24,0.5082441355313709
